Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
MERCEDES-BENZ,MERCEDES-BENZ Clase M ML 250 BlueTEC 4MATIC Edition 1,15.990 €,2012,260.000 km,Diesel,204 cv,Salamanca,2026-05-06 13:53:40,B,https://www.coches.net/mercedes-benz-clase-m-ml-250-bluetec-4matic-edition-1-5p-diesel-2012-en-salamanca-70534173-covo.aspx
AUDI,AUDI Q5 S line 2.0 TDI quattro S tronic,29.295 €,2020,74.072 km,Diesel,190 cv,Madrid,2026-05-06 13:53:40,C,https://www.coches.net/audi-q5-s-line-20-tdi-140kw-quattro-s-tronic-5p-diesel-2018-en-madrid-70564087-covo.aspx
FORD,FORD Grand Tourneo Custom 2.0 EcoBlue L2 Titanium Auto,47.990 €,2026,18 km,Diesel,170 cv,Madrid,2026-05-06 13:53:40,C,https://www.coches.net/ford-grand-tourneo-custom-20-ecoblue-125kw-l2-titanium-auto-4p-diesel-2026-en-madrid-70530700-covo.aspx
BMW,BMW Serie 4 430d xDrive Gran Coupe,43.900 €,2022,109.880 km,Híbrido,286 cv,Badajoz,2026-05-06 13:53:40,ECO,https://www.coches.net/bmw-serie-4-430d-xdrive-gran-coupe-5p-electrico-hibrido-2023-en-badajoz-70225342-covo.aspx
FORD,FORD Focus 2.3 Ecoboost ST 3,26.099 €,2019,42.491 km,Gasolina,280 cv,Madrid,2026-05-06 13:53:40,C,https://www.coches.net/ford-focus-23-ecoboost-206kw-st-3-5p-gasolina-2019-en-madrid-70207372-covo.aspx
KIA,KIA Sportage 1.6 GDi Concept 4x2,12.800 €,2018,119.323 km,Gasolina,132 cv,Granada,2026-05-06 13:53:40,C,https://www.coches.net/kia-sportage-16-gdi-97kw-132cv-concept-4x2-5p-gasolina-2017-en-granada-70526935-covo.aspx
SEAT,SEAT Ibiza 1.0 MPI Reference,10.900 €,2022,101.900 km,Gasolina,80 cv,Baleares,2026-05-06 13:53:40,B,https://www.coches.net/seat-ibiza-10-mpi-59kw-80cv-reference-5p-gasolina-2023-en-baleares-70512654-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase A A 250 e con tecnologia hibrida EQ,36.490 €,2025,13.065 km,Híbrido enchufable,218 cv,Madrid,2026-05-06 13:53:40,B,https://www.coches.net/mercedes-benz-clase-a-a-250-e-con-tecnologia-hibrida-eq-5p-electrico-hibrido-2025-en-madrid-70118821-covo.aspx
BMW,BMW Serie 1 116d,19.699 €,2020,67.295 km,Diesel,116 cv,Sevilla,2026-05-06 13:53:40,C,https://www.coches.net/bmw-serie-1-116d-5p-diesel-2021-en-sevilla-62515008-covo.aspx
VOLVO,VOLVO S60 T6 Recharge Inscription aut,32.900 €,2020,63.329 km,Híbrido enchufable,340 cv,Valladolid,2026-05-06 13:53:40,CERO,https://www.coches.net/volvo-s60-t6-recharge-inscription-aut-4p-electrico-hibrido-2021-en-valladolid-70421671-covo.aspx
