Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Ref
MERCEDES-BENZ,MERCEDES-BENZ Clase C C 220 BlueTEC AMG Line Estate,21.199 €,2015,97.752 km,Diesel,170 cv,Sevilla,https://www.coches.net/mercedes-benz-clase-c-c-220-bluetec-amg-line-estate-5p-diesel-2015-en-sevilla-70502115-covo.aspx
AUDI,AUDI A6 2.0 TDI DPF Corporate,8.990 €,2010,226.560 km,Diesel,170 cv,Madrid,https://www.coches.net/audi-a6-20-tdi-170cv-dpf-corporate-4p-diesel-2010-en-madrid-70508109-covo.aspx
HYUNDAI,HYUNDAI i30 CW 1.0 TGDI Go,13.490 €,2019,52.770 km,Gasolina,120 cv,Valencia,https://www.coches.net/hyundai-i30-cw-10-tgdi-go-5p-gasolina-2019-en-valencia-70477515-covo.aspx
TOYOTA,TOYOTA Yaris 90D ACTIVE,9.990 €,2012,94.314 km,Diesel,90 cv,Madrid,https://www.coches.net/toyota-yaris-90d-active-5p-diesel-2012-en-madrid-70520542-covo.aspx
HYUNDAI,HYUNDAI i20 Active 1.0 TGDI Klass,13.490 €,2019,66.789 km,Gasolina,100 cv,Sevilla,https://www.coches.net/hyundai-i20-active-10-tgdi-74kw-100cv-klass-5p-gasolina-2018-en-sevilla-70521247-covo.aspx
HYUNDAI,HYUNDAI i30 1.0 TGDI Klass Fastback,14.490 €,2019,73.449 km,Gasolina,120 cv,Madrid,https://www.coches.net/hyundai-i30-10-tgdi-klass-fastback-5p-gasolina-2019-en-madrid-70526019-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf 1.9 TDI GT Sport,5.950 €,2007,202.897 km,Diesel,105 cv,Barcelona,https://www.coches.net/volkswagen-golf-19-tdi-105cv-gt-sport-5p-diesel-2008-en-barcelona-70526765-covo.aspx
CITROEN,CITROEN C4 PureTech 130 SS 6v Plus,16.900 €,2024,9500 km,Gasolina,131 cv,Alicante,https://www.coches.net/citroen-c4-puretech-130-ss-6v-plus-5p-gasolina-2023-en-alicante-70500817-covo.aspx
HYUNDAI,HYUNDAI i20 1.2 MPI N Line 30 Aniversario,17.500 €,2023,15.382 km,Gasolina,84 cv,Badajoz,https://www.coches.net/hyundai-i20-12-mpi-n-line-30-aniversario-5p-gasolina-2023-en-badajoz-70481406-covo.aspx
FORD,FORD Focus 1.0 Ecoboost MHEV STLine X,22.900 €,2023,33.375 km,Híbrido,155 cv,Gipuzkoa,https://www.coches.net/ford-focus-10-ecoboost-mhev-114kw-stline-x-5p-electrico-hibrido-2023-en-guipuzcoa-70458461-covo.aspx
