Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
MERCEDES-BENZ,MERCEDES-BENZ Clase A A 200 d,20.990 €,2018,76.605 km,Diesel,136 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/mercedes-benz-clase-a-a-200-d-5p-diesel-2018-en-madrid-70571875-covo.aspx
FORD,FORD Fiesta 1.4 TDCi Trend,4.900 €,2011,163.000 km,Diesel,70 cv,Madrid,2026-05-07 12:22:40,B,https://www.coches.net/ford-fiesta-14-tdci-trend-5p-diesel-2011-en-madrid-70574705-covo.aspx
SEAT,SEAT León 1.5 TSI SS Style,15.490 €,2021,116.000 km,Gasolina,130 cv,Alicante,2026-05-07 12:22:40,C,https://www.coches.net/seat-leon-15-tsi-96kw-ss-style-5p-gasolina-2022-en-alicante-70552960-covo.aspx
BMW,BMW Serie 3 318d,21.490 €,2019,133.555 km,Diesel,150 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/bmw-serie-3-318d-4p-diesel-2019-en-madrid-70564357-covo.aspx
RENAULT,RENAULT Clio Business TCe GLP,12.990 €,2021,59.170 km,Gas licuado (GLP),100 cv,Madrid,2026-05-07 12:22:40,ECO,https://www.coches.net/renault-clio-business-tce-74-kw-100cv-glp-5p-otros-2021-en-madrid-70539725-covo.aspx
OPEL,OPEL Insignia ST 1.4 Turbo SS Excellence,8.900 €,2014,174.500 km,Gasolina,140 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/opel-insignia-st-14-turbo-ss-excellence-5p-gasolina-2015-en-madrid-70570079-covo.aspx
OPEL,OPEL Astra 1.4 Turbo SS Dynamic,9.995 €,2017,100.000 km,Gasolina,125 cv,Bizkaia,2026-05-07 12:22:40,UNKNOWN,https://www.coches.net/opel-astra-14-turbo-ss-92kw-125cv-dynamic-5p-gasolina-2017-en-vizcaya-70551406-covo.aspx
FORD,FORD Mondeo 2.0 Hibrido Trend HEV Auto,15.999 €,2022,208.000 km,Híbrido,187 cv,Sevilla,2026-05-07 12:22:40,ECO,https://www.coches.net/ford-mondeo-20-hibrido-138kw-187cv-trend-hev-auto-4p-electrico-hibrido-2022-en-sevilla-70558914-covo.aspx
TOYOTA,TOYOTA Yaris 1.5 120H Active Tech,12.990 €,2022,153.429 km,Híbrido,116 cv,Valencia,2026-05-07 12:22:40,ECO,https://www.coches.net/toyota-yaris-15-120h-active-tech-5p-electrico-hibrido-2022-en-valencia-70552129-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf 2.0 TDI,15.490 €,2022,165.131 km,Diesel,115 cv,Valencia,2026-05-07 12:22:40,C,https://www.coches.net/volkswagen-golf-20-tdi-85kw-115cv-5p-diesel-2023-en-valencia-70552140-covo.aspx
KIA,KIA Ceed 1.6 CRDi Tech,11.490 €,2020,204.000 km,Diesel,115 cv,Madrid,2026-05-07 12:22:40,ECO,https://www.coches.net/kia-ceed-16-crdi-85kw-115cv-tech-5p-diesel-2020-en-madrid-70551635-covo.aspx
FORD,FORD Kuga 2.0 TDCi 150 4x4 Trend,7.490 €,2014,289.000 km,Diesel,150 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/ford-kuga-20-tdci-150-4x4-trend-5p-diesel-2015-en-madrid-70579096-covo.aspx
HYUNDAI,HYUNDAI Tucson 1.6 GDi Tecno 4x2,14.799 €,2019,111.145 km,Gasolina,132 cv,Barcelona,2026-05-07 12:22:40,C,https://www.coches.net/hyundai-tucson-16-gdi-tecno-4x2-5p-gasolina-2018-en-barcelona-70565339-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf Last Edition 1.6 TDI,14.990 €,2020,103.341 km,Diesel,115 cv,Barcelona,2026-05-07 12:22:40,C,https://www.coches.net/volkswagen-golf-last-edition-16-tdi-85kw-115cv-5p-diesel-2020-en-barcelona-70525786-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase A A 200 d Sedan,33.900 €,2023,52.601 km,Diesel,150 cv,Salamanca,2026-05-07 12:22:40,C,https://www.coches.net/mercedes-benz-clase-a-a-200-d-sedan-4p-diesel-2023-en-salamanca-70571197-covo.aspx
NISSAN,NISSAN QASHQAI dCi 115 CV E6D DCT ACENTA,17.990 €,2020,83.161 km,Diesel,115 cv,Málaga,2026-05-07 12:22:40,C,https://www.coches.net/nissan-qashqai-dci-85-kw-115-cv-e6d-dct-acenta-5p-diesel-2020-en-malaga-70555260-covo.aspx
OPEL,OPEL Corsa 1.2T XHL GS,15.500 €,2024,14.000 km,Gasolina,100 cv,Castellón,2026-05-07 12:22:40,C,https://www.coches.net/opel-corsa-12t-xhl-74kw-100cv-gs-5p-gasolina-2025-en-castellon-70554315-covo.aspx
FORD,FORD Focus 1.5 Ecoblue Active,12.999 €,2022,161.000 km,Diesel,120 cv,Málaga,2026-05-07 12:22:40,C,https://www.coches.net/ford-focus-15-ecoblue-88kw-active-5p-diesel-2022-en-malaga-70535476-covo.aspx
SEAT,SEAT León 2.0 TDI DSG FR,11.300 €,2012,120.000 km,Diesel,140 cv,Bizkaia,2026-05-07 12:22:40,B,https://www.coches.net/seat-leon-20-tdi-140cv-dsg-fr-5p-diesel-2013-en-vizcaya-70558204-covo.aspx
FORD,FORD Focus 1.6 TIVCT Trend,8.900 €,2011,140.000 km,Gasolina,105 cv,Navarra,2026-05-07 12:22:40,UNKNOWN,https://www.coches.net/ford-focus-16-tivct-105cv-trend-5p-gasolina-2011-en-navarra-70561465-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Tiguan Life 2.0 TDI,19.990 €,2022,162.219 km,Diesel,150 cv,Zaragoza,2026-05-07 12:22:40,C,https://www.coches.net/volkswagen-tiguan-life-20-tdi-110kw-150cv-5p-diesel-2022-en-zaragoza-70572330-covo.aspx
CITROEN,CITROEN C4 BlueHDi Live Edition,7.990 €,2017,109.945 km,Diesel,99 cv,Madrid,2026-05-07 12:22:40,C,https://www.coches.net/citroen-c4-bluehdi-73kw-100cv-live-edition-5p-diesel-2016-en-madrid-70568770-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase A A 180,22.990 €,2021,86.000 km,Gasolina,136 cv,Madrid,2026-05-07 12:22:40,UNKNOWN,https://www.coches.net/mercedes-benz-clase-a-a-180-5p-gasolina-2020-en-madrid-70552450-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf Sport 2.0 TDI,23.490 €,2020,70.719 km,Diesel,150 cv,Murcia,2026-05-07 12:22:40,C,https://www.coches.net/volkswagen-golf-sport-20-tdi-110kw-150cv-5p-diesel-2020-en-murcia-70548092-covo.aspx
